ID	SRX Rule Set 	        Storage TM	        Save unlocalized segments to TM	        Save unlocalized segments to Page TM	        Exclude Item Types	        Leverage Localizables	"Leverage Default Matches
Leverage Exact Matches only
Leverage Incontext Matches
"	Leverage Approved translations from selected Reference TM(s) 	Leverage In-progress translations from the Job 	and from Jobs that write to the Storage TM 	and from Jobs that write to selected Reference TM(s) 	Reference TM(s) 	Type-sensitive Leveraging	Penalty1	Case-sensitive Leveraging	Penalty2	Whitespace-sensitive Leveraging	Penalty3	Code-sensitive Leveraging	Penalty4	Reference TM	Penalty5	Reference TM Combo	Multilingual Leveraging	Auto Repair Placeholders	Multiple Exact Matches	Penalty6	Leverage Match Threshold	Number of Matches	Display TM Matches by	Choose Latest Match 	Type-sensitive Leveraging	Penalty7	No Multiple Exact Matches	Penalty8
Case 1	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 2	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1,TMR1,TMR2	o	1	o	1	o	1	o	1	x	1	TMS1,TMR1,TMR2	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 3	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1,TMR1,TMR2	o	1	o	1	o	1	o	1	x	1	TMS1,TMR1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 4	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1,TMR1,TMR2	o	1	o	1	o	1	o	1	x	1	TMS1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 5	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1,TMR1,TMR2	o	1	o	1	o	1	o	1	x	1	TMR1,TMR2	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 6	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1,TMR1,TMR2	o	1	o	1	o	1	o	1	x	1	TMR1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 7	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1,TMR1	o	1	o	1	o	1	o	1	x	1	TMS1,TMR1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 8	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1,TMR1	o	1	o	1	o	1	o	1	x	1	TMS1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 9	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1,TMR1	o	1	o	1	o	1	o	1	x	1	TMR1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 10	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	1	o	1	o	1	o	1	x	1	TMS1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 11	Default	TMS1	x	o		o	xxo	o	o	x	x	TMR1,TMR2	o	1	o	1	o	1	o	1	x	1	TMR1,TMR2	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 12	Default	TMS1	x	o		o	xxo	o	o	x	x	TMR1,TMR2	o	1	o	1	o	1	o	1	x	1	TMR1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 13	Default	TMS1	x	o		o	xxo	o	o	x	x	TMR1,TMR2	o	1	o	1	o	1	o	1	x	1	TMR2	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 14	Default	TMS1	x	o		o	xxo	o	o	x	x	TMR1	o	1	o	1	o	1	o	1	x	1	TMR1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 15	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	1	o	1	o	1	o	1	x	1		o	o	oxx	1	75	5	ox	x	o	1	o	1
Case 16	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	1	o	1	o	1	o	1	o	1	TMS1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 17	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	1	o	1	o	1	x	1	x	1	TMS1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 18	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	1	x	1	x	1	o	1	o	1	TMS1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 19	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	2	o	5	o	8	o	10	x	3	TMS1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 20	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	2	o	5	o	8	o	10	x	3	TMS1	x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 21	Default	TMS21	x	o		o	xxo	o	o	x	x	TMS21	o	1	o	1	o	1	o	1	o	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 22	Default	TMS22	x	x		o	xxo	o	o	x	x	TMS22	o	1	o	1	o	1	o	1	o	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 23	Default	TMS23	o	o		o	xxo	o	o	x	x	TMS23	o	1	o	1	o	1	o	1	o	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 24	Default	TMS24	o	x		o	xxo	o	o	x	x	TMS24	o	1	o	1	o	1	o	1	o	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 25	Default	TMS1	x	o		o	xxo	x	x	x	x	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 26	Default	TMS1	x	o		o	xxo	x	o	x	x	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 27	Default	TMS1	x	o		o	xxo	x	o	x	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 28	Default	TMS1	x	o		o	xxo	x	o	o	x	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 29	Default	TMS1	x	o		o	xxo	x	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 30	Default	TMS1	x	o		o	xxo	o	x	x	x	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 31	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 32	Default	TMS1	x	o		o	xxo	o	o	x	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 33	Default	TMS1	x	o		o	xxo	o	o	o	x	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 34	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 35	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	100	5	ox	x	o	1	o	1
Case 36	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	97	5	ox	x	o	1	o	1
Case 37	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	95	5	ox	x	o	1	o	1
Case 38	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	90	5	ox	x	o	1	o	1
Case 39	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	85	5	ox	x	o	1	o	1
Case 40	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	80	5	ox	x	o	1	o	1
Case 41	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	75	5	ox	x	o	1	o	1
Case 42	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	70	5	ox	x	o	1	o	1
Case 43	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	65	5	ox	x	o	1	o	1
Case 44	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	60	5	ox	x	o	1	o	1
Case 45	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	55	5	ox	x	o	1	o	1
Case 46	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	50	5	ox	x	o	1	o	1
Case 47	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	45	5	ox	x	o	1	o	1
Case 48	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	40	5	ox	x	o	1	o	1
Case 49	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	35	5	ox	x	o	1	o	1
Case 50	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	30	5	ox	x	o	1	o	1
Case 51	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	25	5	ox	x	o	1	o	1
Case 52	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	20	5	ox	x	o	1	o	1
Case 53	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	15	5	ox	x	o	1	o	1
Case 54	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	10	5	ox	x	o	1	o	1
Case 55	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	50	5	ox	x	o	1	o	1
Case 56	Default	TMS1	x	o		o	xxo	o	o	o	o	TMS1	o	1	o	1	o	1	o	1	x	1		x	o	oxx	1	0	5	ox	x	o	1	o	1
Case 57	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	5	o	5	o	5	o	5	x	5	TMS1	x	o	oxx	5	75	5	ox	x	o	5	o	5
Case 58	Default	TMS1	x	o		o	xxo	o	o	x	x	TMS1	o	5	o	5	o	5	o	5	x	5	TMS1	x	o	oxx	5	100	5	ox	x	o	5	o	5
