Index	File_Profile_name	Filter_Name	Translate_Hidden_Layers	Translate_Master_Layers	Translate_File_Information	Translate_Hyperlinks	Translate_Hidden_Conditional_Text	Ignore_Tracking_and_Kerning	Ignore_Forced_Line_Breaks	Ignore_Nonbreaking_Space	IDML_SourceFile
Case_1	IDML_Empty	IDML_Empty	x	x	x	x	x	x	x	x	x
Case_2	IDML_NoFilter	x	x	x	x	x	x	x	x	x	x
Case_3	IDML_Translate_Hidden_Layers	IDML_Translate_Hidden_Layers	o	x	x	x	x	x	x	x	TestMatrix\DataSource\IDML_INDD\IDML\Translate Hidden Layers\idml_hidden.idml,TestMatrix\DataSource\IDML_INDD\IDML\Translate Hidden Layers\TC DMO Guidelines for Logo Usage_2014_UPDATED_for_translations.idml
Case_4	IDML_Translate_Master_Layers	IDML_Translate_Master_Layers	x	o	x	x	x	x	x	x	TestMatrix\DataSource\IDML_INDD\IDML\Translate Master Layers\SB13974.f.PS-Rapid Response Retainer-A4.idml,TestMatrix\DataSource\IDML_INDD\IDML\Translate Master Layers\SB15021.b.A4-Risk and Compliance.idml
Case_5	IDML_Translate_File_Information	IDML_Translate_File_Information	x	x	o	x	x	x	x	x	TestMatrix\DataSource\IDML_INDD\IDML\Translate File Information\Welocalize_Company.idml
Case_6	IDML_Translate_Hyperlinks	IDML_Translate_Hyperlinks	x	x	x	o	x	x	x	x	TestMatrix\DataSource\IDML_INDD\IDML\Translate Hyperlinks\PopIndex_UKEnglish.idml
Case_7	IDML_Translate_Hidden_Conditional_Text	IDML_Translate_Hidden_Conditional_Text	x	x	x	x	o	x	x	x	TestMatrix\DataSource\IDML_INDD\IDML\Translate Hidden Conditional Text\Welocalize_Company_CS5_condition.idml
Case_8	IDML_Ignore_Tracking_and_Kerning	IDML_Ignore_Tracking_and_Kerning	x	x	x	x	x	o	x	x	TestMatrix\DataSource\IDML_INDD\IDML\Ignore Tracking and Kerning\Welocalize_Company_CS5_condition.idml
Case_9	IDML_Ignore_Forced_Line_Breaks	IDML_Ignore_Forced_Line_Breaks	x	x	x	x	x	x	o	x	TestMatrix\DataSource\IDML_INDD\IDML\Ignore Forced Line Breaks\2.9_p8-11.idml
Case_10	IDML_Ignore_Nonbreaking_Space	IDML_Ignore_Nonbreaking_Space	x	x	x	x	x	x	x	o	TestMatrix\DataSource\IDML_INDD\IDML\Ignore Nonbreaking Space\CA14310.b.iSOFT_A4_2col.idml
