Index	File_Profile_name	Filter_Name	Translate_Header_Footer_Information	Translate_Footnotes_Endnotes	Translate_PPT_Speakers_Notes	Translate_PPT_Slide_Master	Translate_PPT_Slide_Layout	Translate_PPT_Notes_Master	Translate_PPT_Handout_Master	Translate_Excel_Tab_Names	Translate_Hidden_Text	Translate_ToolTips	Translate_URLs	Translate_Table_Of_Content	Translate_Comment	Excel_Segment_Order_for_v20_only	Content_post_filter	Base_Text_post_filter	Base_Text_Filter_Internal_Text	Base_Text_Filter_Escaping	Unextractable_Word_Character_Styles	Unextractable_Word_Paragraph_Styles	Unextractable_Excel_Cell_Styles	Word_Internal_Text_Character_Styles	Excel_Internal_Text_Cell_Styles	Office_2010_SourceFile
Case_1	Office_2010_Empty	Empty	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
Case_2	Office_2010_Translate_Header_Footer_Information	Translate_Header_Footer_Information	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_Header_Footer_Information\Welocalize_Company.DOCX
Case_3	Office_2010_Translate_Footnotes_Endnotes	Translate_Footnotes_Endnotes	x	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_Footnotes_Endnotes\Welocalize_Company.DOCX
Case_4	Office_2010_Translate_PPT_Speakers_Notes	Translate_PPT_Speakers_Notes	x	x	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_PPT_Handout_Master\300SeriesRadial_Sales_Slide6_2272_2010.pptx
Case_5	Office_2010_Translate_PPT_Slide_Master	Translate_PPT_Slide_Master	x	x	x	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_PPT_Handout_Master\300SeriesRadial_Sales_Slide6_2272_2010.pptx
Case_6	Office_2010_Translate_PPT_Slide_Layout	Translate_PPT_Slide_Layout	x	x	x	x	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_PPT_Handout_Master\300SeriesRadial_Sales_Slide6_2272_2010.pptx
Case_7	Office_2010_Translate_PPT_Notes_Master	Translate_PPT_Notes_Master	x	x	x	x	x	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_PPT_Handout_Master\300SeriesRadial_Sales_Slide6_2272_2010.pptx
Case_8	Office_2010_Translate_PPT_Handout_Master	Translate_PPT_Handout_Master	x	x	x	x	x	x	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_PPT_Handout_Master\300SeriesRadial_Sales_Slide6_2272_2010.pptx
Case_9	Office_2010_Translate_Excel_Tab_Names	Translate_Excel_Tab_Names	x	x	x	x	x	x	x	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_Excel_Tab_Names\Welocalize_company.xlsx
Case_10	Office_2010_Translate_Hidden_Text	Translate_Hidden_Text	x	x	x	x	x	x	x	x	o	x	x	x	x	x	x	x	x	x	x	x	x	x	x	TestMatrix\DataSource\Office_2010_Filter\Word\Translate_Hidden_Text\Welocalize_Company.DOCX
