Index	File_Profile_name	Filter_Name	Option	XML_Rule	Convert_HTML_Entity_For_Export	Import_Export_Entities	Extended_Whitespace_Characters	Placeholder_Consolidation	Placeholder_Trimming	Save_non_ASCII_Characters_As	Whitespace_Handling	Empty_Tag_Format	Element_post_filter	CDATA_post_filter	SID_Support	Check_Well_Formedness	Generate_Language_Information	Base_Text_Filter_Internal_Text	Base_Text_Filter_Escaping	Base_Text_post_filter	Embeddable_Tags	Preserve_Whitespace_Tags	Translatable_Attribute_Tags	Content_Inclusion_Tags	CDATA_post_filter_tags	Entities_	Processing_Instructions_	Internal_Tags	Source_Comment_from_XMLComment	Source_Comment_from_XMLTag	XMLSourceFile	XML_Rule_File	Import_Filter
Case_1	XML_Empty	XML_Empty	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
Case_2	XML_Empty_With_Rule	XML_Empty_With_Rule	X	Placeholder Consolidation	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_3	XML_Filter_2	XML_Filter_2	X	Placeholder Consolidation	X	X	X	Consolidate adjacent ignore whitespace	X	X	X	Close	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_4	XML_Convert_HTML_Entity_For_Export	XML_Convert_HTML_Entity_For_Export	X	Placeholder Consolidation	O	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Convert HTML Entity For Export\ConvertHTMLEntityForExport.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_5	Import_Export_Entities_1	Import_Export_Entities_1	X	X	X	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	test	X	item	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Import_Export_Entities\EmbedableTags.xml	X	X
Case_6	Import_Export_Entities_2	Import_Export_Entities_2	X	X	X	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	test	X	item	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Import_Export_Entities\EmbedableTags.xml	X	X
Case_7	Import_Export_Entities_3	Import_Export_Entities_3	X	X	X	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	test	X	item	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Import_Export_Entities\EmbedableTags.xml	X	X
Case_8	Import_Export_Entities_4	Import_Export_Entities_4	X	X	X	4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	test	X	item	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Import_Export_Entities\EmbedableTags.xml	X	X
Case_9	Import_Export_Entities_5	Import_Export_Entities_5	X	X	X	5	X	X	X	X	X	X	X	X	X	X	X	X	X	X	test	X	item	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Import_Export_Entities\EmbedableTags.xml	X	X
Case_10	XML_Extended_Whitespace_Characters	XML_Extended_Whitespace_Characters	X	Placeholder Consolidation	X	X	-	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\ExtendedWhitespace\ExtendedWhitespace.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_11	XML_Placeholder_Consolidation	XML_Placeholder_Consolidation	Filter_2	Placeholder Consolidation	X	X	X	Consolidate adjacent	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Placeholder Consolidation\PlaceholderConsolidation.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_12	XML_Placeholder_Trimming	XML_Placeholder_Trimming	X	Placeholder Consolidation	X	X	X	X	Trim	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\PlaceholderTrimming\PlaceholderTrimming.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_13	XML_Save_non_ASCII_Characters_As	XML_Save_non_ASCII_Characters_As	X	Placeholder Consolidation	X	X	X	X	X	Numeric Entity	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Save non-ASCII Characters As\Save non-ASCII Characters As.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_14	XML_Whitespace_Handling	XML_Whitespace_Handling	X	Placeholder Consolidation	X	X	X	X	X	X	Collapse into Single Whitespace	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Whitespace Handling\WhitespaceHandling.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_15	XML_Empty_Tag_Format	XML_Empty_Tag_Format	Filter_2	Placeholder Consolidation	X	X	X	X	X	X	X	Open	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\EmptyTagFormat\EmptyTagFormat.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_16	XML_Element_post_filter	XML_Element_post_filter	X	Placeholder Consolidation	X	X	X	X	X	X	X	X	HTML_Filter(Default)	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Element post-filter\File.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_17	XML_CDATA_post_filter	XML_CDATA_post_filter	X	Placeholder Consolidation	X	X	X	X	X	X	X	X	HTML_Filter(Default)	HTML_Filter(Default)	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\CDATA post-filter\cm7195509876text.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_18	XML_CDATA_post_filter_Convert	XML_CDATA_post_filter_Convert	X	Placeholder Consolidation	O	X	X	X	X	X	X	X	HTML_Filter(Default)	HTML_Filter(Default)	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\CDATA post-filter\cm7195509876text.xml	TestMatrix\DataSource\XMLFilter\XML_Rule\Placeholder_Consolidation.txt	X
Case_19	XML_SID_Support	XML_SID_Support	X	X	X	X	X	X	X	X	X	X	X	X	geo,searchlist_id	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\sid\geos.xml	X	X
Case_20	XML_Check_Well_Formedness	XML_Check_Well_Formedness	X	X	X	X	X	X	X	X	X	X	X	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Check_Well_Formedness\Well_Formedness.xml	X	X
Case_21	XML_Generate_Language_Information	XML_Generate_Language_Information	X	X	X	X	X	X	X	X	X	X	X	X	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_22	XML_Embeddable_Tags	XML_Embeddable_Tags	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	i,b,book;name=Book One	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_23	XML_Translatable_Attribute_Tags	XML_Translatable_Attribute_Tags	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	i,b,book,href	X	book;name<>Book One;name	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_24	XML_Content_Inclusion_Tags	XML_Content_Inclusion_Tags	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	i,b,book,href	X	book;name<>Book One	book;name=Book One 1;Include, href;Exclude	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_25	XML_Entities	XML_Entities	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	textentity1;Text;169;Entity, placeholder1;Placeholder, textcharacter1;Text;169;Character	X	X	X	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_26	XML_Processing_Instructions	XML_Processing_Instructions	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	process_as_markup;As Markup,process_embeddable_m;As Embeddable Markup,process_remove_from_;Remove from Target,Pub;Extract for translation;text2;text	X	X	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_27	XML_Preserve_Whitespace_Tags	XML_Preserve_Whitespace_Tags	X	X	X	X	X	X	X	X	Collapse into Single Whitespace	X	X	X	X	X	X	X	X	X	X	text	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_28	XML_Internal_Tag	XML_Internal_Tag	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	internal_tag	X	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_29	XML_Source_Comment_from_XML_Comment	XML_Source_Comment_from_XML_Comment	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	_locComment_text="([^"]*)";True	X	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_30	XML_Source_Comment_from_XML_Tag	XML_Source_Comment_from_XML_Tag	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	comment;From Tag,someElement;FromAtt:comment	TestMatrix\DataSource\XMLFilter\Embedable Tags\EmbedableTags.xml	X	X
Case_31	XML_CDATA_post_filter_tags	XML_CDATA_post_filter_tags	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	Tag1;Post-Filter:HTML_Filter(Default)	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\CDATA post-filter\cm7195509876text.xml	X	X
Case_32	XML_CDATA_GBS_1481_1483	XML_CDATA_GBS_1481_1483	X	X	O	X	X	X	X	X	X	X	X	HTML_Filter(Default)	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_1481\test.xml	X	X
Case_33	XML_CDATA_GBS_3122	XML_CDATA_GBS_3122	X	X	X	X	X	X	X	X	X	X	X	HTML_Filter(Default)	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_3122\us_en_data_1.xml	X	X
Case_34	XML_CDATA_GBS_2071	XML_CDATA_GBS_2071	X	X	X	X	X	X	X	X	X	X	X	HTML_Filter(Default)	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_2071\index.xml	X	X
Case_35	XML_CDATA_GBS_3663	XML_CDATA_GBS_3663	X	X	X	X	X	X	X	X	X	X	X	HTML_Filter(Default)	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_3663\tos.2014-07-22.xml	X	X
Case_36	XML_CDATA_GBS_3974	XML_CDATA_GBS_3974	X	X	X	X	X	X	X	X	X	X	X	HTML_Filter(Default)	X	X	X	X	",'	Base_Text_post_filter_CDATA	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_3974\strings1.xml	X	TestMatrix\\DataSource\\XMLFilter\\XML_CDATA_GBS_3974\\FilterConfiguration_york_2_20150612174129.properties
Case_37	XML_CDATA_GBS_2484	XML_CDATA_GBS_2484	X	2484	X	X	X	X	X	X	X	X	X	HTML_Filter(Default)	X	X	X	X	",'	Base_Text_post_filter_CDATA	X	X	X	X	X	X	X	X	X	X	TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_2484\670g.xml,TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_2484\about_construction_and_forestry.xml,TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_2484\motor_graders.xml	TestMatrix\DataSource\XMLFilter\XML_CDATA_GBS_2484\xmlRules.txt	X
