Index	File_Profile_name	TM_Profile_Name	Description	Source_TM_To_Import_To_StorageTM	Source_TM_To_Import_To_ReferenceTM	SRX_Rule_Set	SRX_Rule_Set_File_Path	Storage_TM	Save_Unlocalized_Segments_to_TM	Save_Localized_Segments_to_TM	Save_Wholly_Internal_Text_Segments_to_TM 	Save_Exact_Match_Segments_to_TM	Save_Approved_Segments_to_TM	Save_Unlocalized_Segments_to_Page_TM	Leverage_Localizables	Leverage_Exact_Matches_Only	Apply_SID_ICE_Promotion_Only	Apply_SID_Hash_ICE_Promotion	Apply_SID_Hash_Bracketed_ICE_Promotion	Leverage_Approved_translations_from_selected_Reference_TM	Leverage_In_progress_translations_from_the_Job	and_from_Jobs_that_write_to_the_Storage_TM	and_from_Jobs_that_write_to_selected_Reference_TM	Stop_search_after_hitting_100_match	Reference_TM	Type_sensitive_Leveraging	Case_sensitive_Leveraging	Whitespace_sensitive_Leveraging	Code_sensitive_Leveraging	Reference_TM_2	Reference_TM_2_TM	Multilingual_Leveraging	Auto_Repair_Placeholders	Get_Unique_from_Multiple_Exact_Matches	Multiple_Exact_Matches	Leverage_Match_Threshold	Number_of_Matches	Display_TM_Matches_by	Choose_Latest_Match	Type_sensitive_Leveraging_2	No_Multiple_Exact_Matches	TU_Attributes_Match_Prioritising_Rules	Source_Locale	Target_Locale_Short	Target_Locale_Long	Target_Locale_Workflows	Target_Locale_code	TMP_SourceFile
Case_1	TMP_SRX_Rule_Set_Without_SRX	TMP_SRX_Default_SRX	TMP_SRX_Rule_Set_Without_SRX	x	x	o	o	TMP_SRX_Rule_Set_Without_SRX_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_SRX_Rule_Set_Without_SRX_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\SRX_Rule_Set_Without_SRX\GBS_3794\mail.html
Case_2	TMP_SRX_Rule_Set_With_SRX	TMP_SRX_With_SRX	TMP_SRX_Rule_Set_With_SRX	x	x	3794	TestMatrix\Setup\TM_Profile\SRX_Rule_Set_With_SRX\GBS_3794\SRX.txt	TMP_SRX_Rule_Set_With_SRX_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_SRX_Rule_Set_With_SRX_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\SRX_Rule_Set_With_SRX\GBS_3794\mail.html
Case_3	TMP_Save_Unlocalized_Segments_to_TM_Checked	TMP_Save_Unloc_Seg_T	TMP_Save_Unlocalized_Segments_to_TM_Checked	x	TestMatrix\Setup\TM_Profile\Save_Unlocalized_Segments_to_TM_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Save_Unlocalized_Segments_to_TM_Checked_Storage	yes	no	no	no	no	no	o	o	o	o	o	o	o	o	o	o	TMP_Save_Unlocalized_Segments_to_TM_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR,de_DE	French (France) [fr_FR];German (Germany) [de_DE]	en_US_fr_FR_T ;en_US_de_DE_T 	57;25	TestMatrix\Setup\TM_Profile\Save_Unlocalized_Segments_to_TM_Checked\Welocalize_Company.html
Case_4	TMP_Save_Unlocalized_Segments_to_TM_Unchecked	TMP_Save_Unloc_Seg_F	TMP_Save_Unlocalized_Segments_to_TM_Unchecked	x	TestMatrix\Setup\TM_Profile\Save_Unlocalized_Segments_to_TM_Unchecked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Save_Unlocalized_Segments_to_TM_Unchecked_Storage	no	no	no	no	no	no	o	o	o	o	o	o	o	o	o	o	TMP_Save_Unlocalized_Segments_to_TM_Unchecked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR,de_DE	French (France) [fr_FR];German (Germany) [de_DE]	en_US_fr_FR_T ;en_US_de_DE_T 	57;25	TestMatrix\Setup\TM_Profile\Save_Unlocalized_Segments_to_TM_Unchecked\Welocalize_Company.html
Case_5	TMP_Save_Localized_Segments_to_TM_Checked	TMP_Save_Loc_Seg_T	TMP_Save_Localized_Segments_to_TM_Checked	x	TestMatrix\Setup\TM_Profile\Save_Localized_Segments_to_TM_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Save_Localized_Segments_to_TM_Checked_Storage	no	yes	no	no	no	no	o	o	o	o	o	o	o	o	o	o	TMP_Save_Localized_Segments_to_TM_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Save_Localized_Segments_to_TM_Checked\Welocalize_Company.html
Case_6	TMP_Save_Wholly_Internal_Text_Segments_to_TM_Checked	TMP_Save_Wholly_T	TMP_Save_Wholly_Internal_Text_Segments_to_TM_Checked	x	TestMatrix\Setup\TM_Profile\Save_Wholly_Internal_Text_Segments_to_TM\Wholly_Internal_Text_Reference_TM.xml	o	o	TMP_Save_Wholly_Internal_Text_Segments_to_TM_Checked_Storage	no	no	yes	no	no	no	o	o	o	o	o	o	o	o	o	o	TMP_Save_Wholly_Internal_Text_Segments_to_TM_Checked_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Save_Wholly_Internal_Text_Segments_to_TM\TranslationExportForGS_en_US-8000 - little.xml
Case_7	TMP_Save_Wholly_Internal_Text_Segments_to_TM_Unchecked	TMP_Save_Wholly_F	TMP_Save_Wholly_Internal_Text_Segments_to_TM _Unchecked	x	TestMatrix\Setup\TM_Profile\Save_Wholly_Internal_Text_Segments_to_TM\Wholly_Internal_Text_Reference_TM.xml	o	o	TMP_Save_Wholly_Internal_Text_Segments_to_TM_Unchecked_Stor	no	no	no	no	no	no	o	o	o	o	o	o	o	o	o	o	TMP_Save_Wholly_Internal_Text_Segments_to_TM_Unchecked_Ref	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Save_Wholly_Internal_Text_Segments_to_TM\TranslationExportForGS_en_US-8000 - little.xml
Case_8	TMP_Save_Exact_Match_Segments_to_TM_Checked	TMP_Save_Exact_T	TMP_Save_Exact_Match_Segments_to_TM_Checked	x	TestMatrix\Setup\TM_Profile\Save_Exact_Match_Segments_to_TM_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Save_Exact_Match_Segments_to_TM_Checked_Storage	no	no	no	yes	no	no	o	o	o	o	o	o	o	o	o	o	TMP_Save_Exact_Match_Segments_to_TM_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Save_Exact_Match_Segments_to_TM_Checked\Welocalize_Company.html
Case_9	TMP_Save_Approved_Segments_to_TM_Checked	TMP_Save_Approved_T	TMP_Save_Approved_Segments_to_TM_Checked	x	TestMatrix\Setup\TM_Profile\Save_Approved_Segments_to_TM_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Save_Approved_Segments_to_TM_Checked_Storage	no	no	no	no	yes	no	o	o	o	o	o	o	o	o	o	o	TMP_Save_Approved_Segments_to_TM_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Save_Approved_Segments_to_TM_Checked\Welocalize_Company.html
Case_10	TMP_Save_Unlocalized_Segments_to_Page_TM_Checked	TMP_Save_Unloc_to_Page_T	TMP_Save_Unlocalized_Segments_to_Page_TM_Checked	x	TestMatrix\Setup\TM_Profile\Save_Unlocalized_Segments_to_Page_TM_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Save_Unlocalized_Segments_to_Page_TM_Checked_Storage	no	no	no	no	no	yes	o	o	o	o	o	o	o	o	o	o	TMP_Save_Unlocalized_Segments_to_Page_TM_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Save_Unlocalized_Segments_to_Page_TM_Checked\Welocalize_Company.html
Case_11	TMP_Leverage_Localizables_Checked	TMP_Lev_Localizables_T	TMP_Leverage_Localizables_Checked	x	TestMatrix\Setup\TM_Profile\Leverage_Localizables_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Leverage_Localizables_Checked_Storage	o	o	o	o	o	o	yes	o	o	o	o	o	o	o	o	o	TMP_Leverage_Localizables_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Leverage_Localizables_Checked\Welocalize_Company.html
Case_12	TMP_Leverage_Localizables_Unchecked	TMP_Lev_Localizables_F	TMP_Leverage_Localizables_Unchecked	x	TestMatrix\Setup\TM_Profile\Leverage_Localizables_Unchecked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Leverage_Localizables_Unchecked_Storage	o	o	o	o	o	o	no	o	o	o	o	o	o	o	o	o	TMP_Leverage_Localizables_Unchecked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Leverage_Localizables_Unchecked\Welocalize_Company.html
Case_13	TMP_Leverage_Exact_Matches_Only_Checked	TMP_Leverage_Exact_Only_T	TMP_Leverage_Exact_Matches_Only_Checked	x	TestMatrix\Setup\TM_Profile\Leverage_Exact_Matches_Only_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Leverage_Exact_Matches_Only_Checked_Storage	o	o	o	o	o	o	o	yes	o	o	o	o	o	o	o	o	TMP_Leverage_Exact_Matches_Only_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Leverage_Exact_Matches_Only_Checked\Welocalize_Company.html
Case_14	TMP_Leverage_Exact_Matches_Only_Unchecked	TMP_Leverage_Exact_Only_F	TMP_Leverage_Exact_Matches_Only_Unchecked	x	TestMatrix\Setup\TM_Profile\Leverage_Exact_Matches_Only_Unchecked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Leverage_Exact_Matches_Only_Unchecked_Storage	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	TMP_Leverage_Exact_Matches_Only_Unchecked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Leverage_Exact_Matches_Only_Unchecked\Welocalize_Company.html
Case_15	TMP_Apply_SID_ICE_Promotion_Only_Checked	TMP_SID_ICE_Only_T	TMP_Apply_SID_ICE_Promotion_Only_Checked	x	TestMatrix\Setup\TM_Profile\Apply_SID_ICE_Promotion_Only_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Apply_SID_ICE_Promotion_Only_Checked_Storage	o	o	o	o	o	o	o	o	yes	o	o	o	o	o	o	o	TMP_Apply_SID_ICE_Promotion_Only_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Apply_SID_ICE_Promotion_Only_Checked\Welocalize_Company.html
Case_16	TMP_Apply_SID_Hash_ICE_Promotion_Checked	TMP_SID_Hash_ICE_T	TMP_Apply_SID_Hash_ICE_Promotion_Checked	x	TestMatrix\Setup\TM_Profile\Apply_SID_Hash_ICE_Promotion_Checked\tm_100_InContext_Fuzzy_NoMatch.xml	o	o	TMP_Apply_SID_Hash_ICE_Promotion_Checked_Storage	o	o	o	o	o	o	o	o	o	yes	o	o	o	o	o	o	TMP_Apply_SID_Hash_ICE_Promotion_Checked_Reference	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	o	English (United States) [en_US]	fr_FR	French (France) [fr_FR]	en_US_fr_FR_T	57	TestMatrix\Setup\TM_Profile\Apply_SID_Hash_ICE_Promotion_Checked\Welocalize_Company.html
