English,German,Project,Reference,Comments
IVD authorized representative information,Angaben zum autorisierten IVD-Bevollm?chtigten,Welocalize ,only found as IVD authorized representative,"from the NeoLynx manual und auch im ""GlobalSight micro Neonatal screening system"""
Quality manager,Qualit?tsmanager,Welocalize ,GlobalSight Premier XE TM,from the NeoLynx manual
Intended use,Vorgesehener Verwendungszweck,Welocalize ,Aquity TM,from the NeoLynx manual
"single-quadrupole, atmospheric pressure ionization (API) mass spectrometer",Mono-Quadrupol- Massenspektrometer mit Ionisierung bei Atmosph?rendruck (API)  ,Welocalize ,"Found parts in TM, please check and confirm context,  AG: Single-, Tandem- , Triple- MS (could be mono-, duo-,  triple-) MS",
Waters SQ Detector Site Preparation Guide,Waters SQ Detector Site Preparation Guide (Anforderungen für den Aufstellort des Waters SQ Detektors),Welocalize ,,"not xlated for FIGS, hence must be bilingual DB: nur Vorschlag, l?sst sich ohne Zusammenhang nicht genau übersetzen"
dual orthogonal sampling interface,dual-orthogonale Probeneinlassstelle,Welocalize ,direkt vor dem Probeneinlass,"DB: nur Vorschlag, l?sst sich ohne Zusammenhang nicht genau übersetzen"
atmospheric pressure chemical ionization,Chemische Ionisierung bei Atmosph?rendruck,Welocalize ,GlobalSight Premier XE TM,
electrospray ionization,Elektrospray-Ionisierung,Welocalize ,GlobalSight Premier XE TM,
atmospheric pressure photoionization,Photoionisierung bei Atmosph?rendruck,Welocalize ,,
to tune a detector,Detektor abstimmen,Welocalize ,,"please compare the xlation in ""window Tune"" To tune an MS detector:> So stimmen Sie einen MS-Detektor ab:"
binary solvent manager,bin?rer Solvent Manager,Welocalize ,Aquity TM,
sample manager,Sample Manager,Welocalize ,Aquity TM,
column heater,S?ulenofen,Welocalize ,Aquity TM,Not translated in S/W. Leave as column heater…
optional sample organizer,optionaler Sample Organizer,Welocalize ,Aquity TM,
solvent tray,Auffangvorrichtung für L?sungsmittel,Welocalize ,GlobalSight Premier XE TM,
krypton-discharge ultra-violet lamp,Kryptonentladungs-UV-Lampe,Welocalize ,,DB: Vorschlag
krypton-discharge ultra-violet (UV) lamp,Kryptonentladungs-UV-Lampe,Welocalize ,,DB: Vorschlag
orifices,?ffnungen,Welocalize ,GlobalSight Premier XE TM,
photomultiplier detection system,Fotomuliplier-Detektoreinheit,Welocalize ,GlobalSight XE ,
Selected Ion Recording (SIR),Selected Ion Recording (SIR) (Erfassen ausgew?hlter Ionen),Welocalize ,,
split flow turbomolecular pump,Split-Flow-Turbomolekularpumpe,Welocalize ,,DB
auto-tuning,Automatische Abstimmung,Welocalize ,found tuning as Abstimmung. Automatische Abstimmung?,DB
auto-calibration,Automatische Kalibrierung,Welocalize ,found calibration as Kalibrierung. Automatische Kalibrierung?,DB
SQ Detector Tune window,Fenster Tune (Abstimmung) des SQ Detektors,Welocalize ,found only parts of the term in TM,
Analyser tab,Registerkarte Analyser (Analysator),Welocalize ,,DB
Flow Control controls,Steuerelemente Flow Control (Flusssteuerung),Welocalize ,found only parts of the term in TM,DB
MS Methods window,Fenster MS Methods (MS-Methoden),Welocalize ,,DB
Method Events,Methodenereignisse,Welocalize ,I have seen events as *Ereignisse* and *Funktionen*. Please check,"DB: nur Vorschlag, l?sst sich ohne Zusammenhang nicht genau übersetzen"
Method Events dialog box,Dialogfeld Method Events (Methodenereignisse),Welocalize ,,"DB: nur Vorschlag, l?sst sich ohne Zusammenhang nicht genau übersetzen"
"Combined
Infusion
Waste
No change","Combined (Kombiniert)
Infusion
Waste (Abfall)
No change (Keine ?nderung)",Welocalize ,,flow states
MassLynx online Help topic “Advanced Methods and Events”,"MassLynx Online-Hilfethema ""Advanced Methods and Events” (Fortgeschrittene Methoden und Ereignisse)",Welocalize ,,"the MassLynx online help is not xlated at all, please provide bilingual DB: ""online Help topic"" m.E. kein Softwarebegriffe, sollte übersetzt werden "
IntelliStart dialog box,Dialogfeld IntelliStart,Welocalize ,,"""IntelliStart"" is a name and remains as is"
Click Control > Pump to start the roughing pump.,"Klicken Sie auf Control > Pump (Steuerung > Pumpe), um die Vorpumpe zu starten.",Welocalize ,"AG: Grobpumpe mag richtig sein, klingt aber nach groben Arbeiten, MS ist eine anspruchsvolle Materie --> angemessener w?re darum ""Vorpumpe"", ist auch konsistent mit GlobalSight Premier XE Vokabular.","DB: ""Grobpumpe"" laut Ernst-W?rterbuch "
The IntelliStart window displays “Instrument in standby”,"Im Fenster IntelliStart wird die Meldung “Instrument in standby” (""Ger?t im Standby"") angezeigt.",Welocalize ,,
Click Resolve to bring the SQ detector into Operate mode.,"Klicken Sie auf Resolve (Aufl?sen), um den SQ Detektor in den Modus Operate (Betrieb) zu schalten.",Welocalize ,,"DB: ""Resolve"" = ""Aufl?sen"" ist nur Vorschlag, l?sst sich ohne Zusammenhang nicht genau übersetzen"
SQ Detector IntelliStart dialog box,Dialogfeld SQ Detector IntelliStart,Welocalize ,,
"In the ACQUITY UPLC Console system tree, select SQ Detector.",W?hlen Sie im Systemverzeichnis der ACQUITY UPLC Konsole den Eintrag SQ Detector (SQ Detektor) aus.,Welocalize ,,
Click Configure > IntelliStart Configuration.,Klicken Sie auf Configure > IntelliStart Configuration (Konfigurieren > IntelliStart Konfiguration),Welocalize ,only parts found in TM,DB
Checks list,Liste Checks (Prüfungen),Welocalize ,,"In the IntelliStart Configuration dialog box, in the Checks list, select the checkboxes for the items you want checked during SQ detector startup. DB"
Click Apply > OK.,Klicken Sie auf Apply > OK (Anwenden > OK).,Welocalize ,Empower2,"Würde ich besser einheitlich so machen, auch wenn OK nicht übersetzt wird"
"In the SQ Detector information window, click IntelliStart.",Klicken Sie im Informationsfenster des SQ Detektors auf IntelliStart.,Welocalize ,,
light emitting diodes,Leuchtdioden,Welocalize ,"Aquity TM, GlobalSight Premier TM; also abbreviated as LED",
ACQUITY UPLC Console software,Software der ACQUITY UPLC Konsole,Welocalize ,only parts found in TM,DB
fluidics system,Flüssigkeitssystem,Welocalize ,only parts found in TM,"DB: im TM wird h?ufiger ""Flüssigkeit"" verwendet"
"Chemical-resistant, powder-free gloves",chemikalienbest?ndige nicht gepuderte Schutzhandschuhe,Welocalize ,only parts found in TM,DB
reservoir bottle,Vorratsflasche,Welocalize ,,
Fluidics system diverter valve positions,Umleitventilstellungen für das Flüssigkeitssystem,Welocalize ,only parts found in TM,DB
Click Control > Show Tune window.,Klicken Sie auf Control > Show Tune window (Steuerung > Fenster Abstimmung anzeigen).,Welocalize ,,DB
Click Purge.,Klicken Sie auf Purge (Spülen).,Welocalize ,Empower2,
Reset button,Taste Reset (Zurücksetzen),Welocalize ,"Ayfer: Hier ist ""button"" wirklich eine [physische] Taste und keine Schaltflaeche.",
Set system shutdown parameters in the Shutdown Editor.,Legen Sie die Ausschaltparameter für das System im Shutdown Editor (Ausschalteditor) fest.,Welocalize ,,
"In the Flow Control panel, select Waste as the flow state.",W?hlen Sie im Bedienfeld Flow (Fluss) die Option Waste (Abfall) als Flussstatus.,Welocalize ,not found in TM,
Click Control > Standby.,Klicken Sie auf Control > Standby (Steuerung > Standby).,Welocalize ,,DB
Click Control > Gas Off.,Klicken Sie auf Control > Gas Off (Steuerung > Gas aus).,Welocalize ,,DB
Click Control > Vent.,Klicken Sie auf Control > Vent (Steuerung > Entlüften).,Welocalize ,,DB
ESCi (Combined electrospay and atmospheric pressure chemical ionization),ESCi (Kombinierte Elektrospray-Ionisierung und chemische Ionisierung unter Atmosph?rendruck),Welocalize ,term electrospray misspelled as electrospay. ,
ESI (Electrospray ionization),ESI (Elektrospray-Ionisierung),Welocalize ,,
ESI probe,ESI-Sprühkopf,Welocalize ,,
Probe adjuster assembly,Sprühkopfjustierung,Welocalize ,"only parts found in TM, AG: assembly is not translated here, Assembly : Baugruppe","DB: Kunde m?chte, dass auf Bindestriche m?glichst verzichtet wird"
Probe adjuster assembly contacts,Anschlüsse der Sprühkopfjustierung,Welocalize ,,DB: s.o.
Fluidics diverter valve,Flüssigkeitsumleitventil,Welocalize ,,DB: s.o.
Vernier probe adjuster,Vernier-Sprühkopffeinjustierung,Welocalize ,GlobalSight Premier XE TM,
Desolvation gas connection,Desolvatationsgasanschluss,Welocalize ,GlobalSight Premier XE TM,
Nebulizer gas connection,Zerst?ubergasanschluss,Welocalize ,GlobalSight Premier XE TM,
ESI probe electrical lead,Stromkabel des ESI-Sprühkopfes,Welocalize ,,
Probe adjuster assembly electrical lead,Stromkabel der Sprühkopfjustierung,Welocalize ,,DB
HV connection,HV-Anschluss,Welocalize ,GlobalSight Premier XE TM,
dispersion,Dispersion,Welocalize ,,
