English (United States),French (Canada),Context,Created By,Created On,Date,Date2,ExampleFile,KBase ID,Modified By,Modified On,Note,Note2
# Pallets,nombre de palettes,RFL,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
$ Off Customer Service,Rabais en % sur le Service ?? la client??le,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
% Off Customer Service,Rabais en $ sur le Service ?? la client??le,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
.Linux,.Linux,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
10 Minute Overview,Aper??u en 10 minutes,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
1-31 file,fili??re/dossier 1-31,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
2.4GHZ,"frequence de 2,4 GHz",,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
"3 A??s (Aknowledge, Align, Assure)","les 3 A - Aknowledge, Align, Assure (Reconna??tre, Guider, Confirmer)",,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
360-Degree view,Vue ?? 360 degr??s,Kbase Articles,Admin,21.09.2006 - 06:41:56,,,,,Admin,21.09.2006 - 06:41:56,,
3PP (Third Party Product),produit d??un tiers (3PP),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
About Welocalize Policies,?€ propos des politiques d??Welocalize,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
about me,?? propos de moi,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
ABS (Absolute),absolue (ABS),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
absolute dollar value,valeur absolue,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
AC adapter,adaptateur de courant,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
AC RTW (WelocalizeCare Return to Warehouse),WelocalizeCare Retour ?? l??entrep??t (AC RTW),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Accidental Damage,dommages accidentels,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Accurate Cycle Count disclosure,communication d'un inventaire cyclique pr??cis,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
acknowledge,prenez acte,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
ACN (Welocalize Consultant Network),r??seau des consultants Welocalize (ACN),,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
activation insert,encart d'activation,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
Actual Failure,panne v??ritable,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
acute accent,accent aigu,,Admin,26.06.2007 - 06:51:53,,,,,Admin,26.06.2007 - 06:51:53,,
